Combo/MI name	Type	NID
	nhpid_ingredient	30066
	nhpid_ingredient	30067
	nhpid_ingredient	30068
	nhpid_ingredient	30069
	nhpid_ingredient	30070
	nhpid_ingredient	30071
	nhpid_ingredient	30072
	nhpid_ingredient	30073
	nhpid_ingredient	30074
	nhpid_ingredient	30075
	nhpid_ingredient	30076
	nhpid_ingredient	30077
	nhpid_ingredient	30078
	nhpid_ingredient	30079
	nhpid_ingredient	30080
	nhpid_ingredient	30081
	nhpid_ingredient	30082
	nhpid_ingredient	30083
	nhpid_ingredient	30084
	nhpid_ingredient	30085
	nhpid_ingredient	30086
	nhpid_ingredient	30087
	nhpid_ingredient	30088
	nhpid_ingredient	30089
	nhpid_ingredient	30090
	nhpid_ingredient	30091
	nhpid_ingredient	30092
	nhpid_ingredient	30093
	nhpid_ingredient	30094
	nhpid_ingredient	30095
	nhpid_ingredient	30096
	nhpid_ingredient	30097
	nhpid_ingredient	30098
	nhpid_ingredient	30099
	nhpid_ingredient	30100
	nhpid_ingredient	30101
	nhpid_ingredient	30102
	nhpid_ingredient	30103
	nhpid_ingredient	30104
	nhpid_ingredient	30105
	nhpid_ingredient	30106
	nhpid_ingredient	30107
	nhpid_ingredient	30108
	nhpid_ingredient	30109
	nhpid_ingredient	30110
	nhpid_ingredient	30111
	nhpid_ingredient	30112
	nhpid_ingredient	30113
	nhpid_ingredient	30114
	nhpid_ingredient	30115
	nhpid_ingredient	30116
	nhpid_ingredient	30117
	nhpid_ingredient	30118
	nhpid_ingredient	30119
	nhpid_ingredient	30120
	nhpid_ingredient	30121
	nhpid_ingredient	30122
	nhpid_ingredient	30123
	nhpid_ingredient	30124
	nhpid_ingredient	30125
	nhpid_ingredient	30126
	nhpid_ingredient	30127
	nhpid_ingredient	30128
	nhpid_ingredient	30129
	nhpid_ingredient	30130
	nhpid_ingredient	30131
	nhpid_ingredient	30132
	nhpid_ingredient	30133
	nhpid_ingredient	30134
	nhpid_ingredient	30135
	nhpid_ingredient	30136
	nhpid_ingredient	30137
	nhpid_ingredient	30138
	nhpid_ingredient	30139
	nhpid_ingredient	30140
	nhpid_ingredient	30141
	nhpid_ingredient	30142
	nhpid_ingredient	30143
	nhpid_ingredient	30144
	nhpid_ingredient	30145
	nhpid_ingredient	30146
	nhpid_ingredient	30147
	nhpid_ingredient	30148
	nhpid_ingredient	30149
	nhpid_ingredient	30150
	nhpid_ingredient	30151
	nhpid_ingredient	30152
	nhpid_ingredient	30153
